lat,lon,Name Image,Damage,Dirt or Dent,Light Poles,Paint,Scratch,Stickers or Graffiti,VRI,Grade,Number of VRIs,Distance Between VRI
40.016,-73.984,frame_000000,,,,,,,,,0,
40.068,-73.932,frame_000001,,,,,,,,,0,
40.037,-73.963,frame_000002,,,,,,,,,0,
40.015,-73.985,frame_000003,,,,,,,,,0,
40.02,-73.98,frame_000004,,,,,,,,,0,
40.004,-73.996,frame_000005,,,,,,,,,0,
40.015,-73.985,frame_000006,,,,,,,,,0,
40.062,-73.938,frame_000007,,,,,,,,,0,
40.031,-73.969,frame_000008,,,,,,,,,0,
40.068,-73.932,frame_000009,,,,,,,,,0,
40.042,-73.958,frame_000010,,,,,,,,,0,
40.061,-73.939,frame_000011,,,,,,,,,0,
40.048,-73.952,frame_000012,,,,,,,,,0,
40.005,-73.995,frame_000013,,,,,,,,,0,
40.093,-73.907,frame_000014,,,,,,,,,0,
40.018,-73.982,frame_000015,,,,,,,,,0,
40.071,-73.929,frame_000016,,,,,,,,,0,
40.036,-73.964,frame_000017,,,,,,,,,0,
40.044,-73.956,frame_000018,,,,,,,,,0,
40.064,-73.936,frame_000019,,,,,,,,,0,
40.009,-73.991,frame_000020,,,,,,,,,0,
40.055,-73.945,frame_000021,,,,,,,,,0,
40.047,-73.953,frame_000022,,,,,,,,,0,
40.017,-73.983,frame_000023,,,,,,,,,0,
40.021,-73.979,frame_000024,,,,,,,,,0,
40.004,-73.996,frame_000025,,,,,,,,,0,
40.089,-73.911,frame_000026,,,,,,,,,0,
40.002,-73.998,frame_000027,,,,,,,,,0,
40.053,-73.947,frame_000028,,,,,,,,,0,
40.019,-73.981,frame_000029,,,,,,,,,0,
40.0,-74.0,frame_000030,,,,,,,,,0,
40.031,-73.969,frame_000031,,,,,,,,,0,
40.08,-73.92,frame_000032,,,,,,,,,0,
40.061,-73.939,frame_000033,,,,,,,,,0,
40.047,-73.953,frame_000034,,,,,,,,,0,
40.069,-73.931,frame_000035,,,,,,,,,0,
40.093,-73.907,frame_000036,,,,,,,,,0,
40.019,-73.981,frame_000037,,,,,,,,,0,
40.018,-73.982,frame_000038,,,,,,,,,0,
40.025,-73.975,frame_000039,,,,,,,,,0,
40.019,-73.981,frame_000040,,,,,,,,,0,
40.09,-73.91,frame_000041,,,,,,,,,0,
40.039,-73.961,frame_000042,,,,,,,,,0,
40.005,-73.995,frame_000043,,,,,,,,,0,
40.098,-73.902,frame_000044,,,,,,,,,0,
40.032,-73.968,frame_000045,,,,,,,,,0,
40.011,-73.989,frame_000046,,,,,,,,,0,
40.008,-73.992,frame_000047,,,,,,,,,0,
40.021,-73.979,frame_000048,,,,,,,,,0,
40.048,-73.952,frame_000049,,,,,,,,,0,
40.047,-73.953,frame_000050,,,,,,,,,0,
40.006,-73.994,frame_000051,,,,,,,,,0,
40.034,-73.966,frame_000052,,,,,,,,,0,
40.055,-73.945,frame_000053,,,,,,,,,0,
40.036,-73.964,frame_000054,,,,,,,,,0,
40.026,-73.974,frame_000055,,,,,,,,,0,
40.087,-73.913,frame_000056,,,,,,,,,0,
40.06,-73.94,frame_000057,,,,,,,,,0,
40.083,-73.917,frame_000058,,,,,,,,,0,
40.066,-73.934,frame_000059,,,,,,,,,0,
40.081,-73.919,frame_000060,,,,,,,,,0,
40.063,-73.937,frame_000061,,,,,,,,,0,
40.021,-73.979,frame_000062,,,,,,,,,0,
40.053,-73.947,frame_000063,,,,,,,,,0,
40.002,-73.998,frame_000064,,,,,,,,,0,
40.051,-73.949,frame_000065,,,,,,,,,0,
40.001,-73.999,frame_000066,,,,,,,,,0,
40.086,-73.914,frame_000067,,,,,,,,,0,
40.06,-73.94,frame_000068,,,,,,,,,0,
40.079,-73.921,frame_000069,,,,,,,,,0,
40.075,-73.925,frame_000070,,,,,,,,,0,
40.012,-73.988,frame_000071,,,,,,,,,0,
40.029,-73.971,frame_000072,,,,,,,,,0,
40.056,-73.944,frame_000073,,,,,,,,,0,
40.057,-73.943,frame_000074,,,,,,,,,0,
40.094,-73.906,frame_000075,,,,,,,,,0,
40.052,-73.948,frame_000076,,,,,,,,,0,
40.063,-73.937,frame_000077,,,,,,,,,0,
40.014,-73.986,frame_000078,,,,,,,,,0,
40.032,-73.968,frame_000079,,,,,,,,,0,
40.091,-73.909,frame_000080,,,,,,,,,0,
40.079,-73.921,frame_000081,,,,,,,,,0,
40.099,-73.901,frame_000082,,,,,,,,,0,
40.077,-73.923,frame_000083,,,,,,,,,0,
40.016,-73.984,frame_000084,,,,,,,,,0,
40.036,-73.964,frame_000085,,,,,,,,,0,
40.08,-73.92,frame_000086,,,,,,,,,0,
40.091,-73.909,frame_000087,,,,,,,,,0,
40.022,-73.978,frame_000088,,,,,,,,,0,
40.054,-73.946,frame_000089,,,,,,,,,0,
40.001,-73.999,frame_000090,,,,,,,,,0,
40.093,-73.907,frame_000091,,,,,,,,,0,
40.057,-73.943,frame_000092,,,,,,,,,0,
40.065,-73.935,frame_000093,,,,,,,,,0,
40.052,-73.948,frame_000094,,,,,,,,,0,
40.004,-73.996,frame_000095,,,,,,,,,0,
40.035,-73.965,frame_000096,,,,,,,,,0,
40.095,-73.905,frame_000097,,,,,,,,,0,
40.059,-73.941,frame_000098,,,,,,,,,0,
40.07,-73.93,frame_000099,,,,,,,,,0,
40.077,-73.923,frame_000100,,,,,,,,,0,
40.015,-73.985,frame_000101,,,,,,,,,0,
40.022,-73.978,frame_000102,,,,,,,,,0,
40.037,-73.963,frame_000103,,,,,,,,,0,
40.096,-73.904,frame_000104,,,,,,,,,0,
40.059,-73.941,frame_000105,,,,,,,,,0,
40.081,-73.919,frame_000106,,,,,,,,,0,
40.049,-73.951,frame_000107,,,,,,,,,0,
40.086,-73.914,frame_000108,,,,,,,,,0,
40.092,-73.908,frame_000109,,,,,,,,,0,
40.014,-73.986,frame_000110,,,,,,,,,0,
40.039,-73.961,frame_000111,,,,,,,,,0,
40.098,-73.902,frame_000112,,,,,,,,,0,
40.074,-73.926,frame_000113,,,,,,,,,0,
40.017,-73.983,frame_000114,,,,,,,,,0,
40.03,-73.97,frame_000115,,,,,,,,,0,
40.049,-73.951,frame_000116,,,,,,,,,0,
40.089,-73.911,frame_000117,,,,,,,,,0,
40.093,-73.907,frame_000118,,,,,,,,,0,
40.094,-73.906,frame_000119,,,,,,,,,0,
40.041,-73.959,frame_000120,,,,,,,,,0,
40.046,-73.954,frame_000121,,,,,,,,,0,
40.03,-73.97,frame_000122,,,,,,,,,0,
40.02,-73.98,frame_000123,,,,,,,,,0,
40.049,-73.951,frame_000124,,,,,,,,,0,
40.009,-73.991,frame_000125,,,,,,,,,0,
40.027,-73.973,frame_000126,,,,,,,,,0,
40.051,-73.949,frame_000127,,,,,,,,,0,
40.009,-73.991,frame_000128,,,,,,,,,0,
40.021,-73.979,frame_000129,,,,,,,,,0,
40.025,-73.975,frame_000130,,,,,,,,,0,
40.02,-73.98,frame_000131,,,,,,,,,0,
40.029,-73.971,frame_000132,,,,,,,,,0,
40.013,-73.987,frame_000133,,,,,,,,,0,
40.088,-73.912,frame_000134,,,,,,,,,0,
40.015,-73.985,frame_000135,,,,,,,,,0,
40.064,-73.936,frame_000136,,,,,,,,,0,
40.038,-73.962,frame_000137,,,,,,,,,0,
40.009,-73.991,frame_000138,,,,,,,,,0,
40.061,-73.939,frame_000139,,,,,,,,,0,
40.098,-73.902,frame_000140,,,,,,,,,0,
40.037,-73.963,frame_000141,,,,,,,,,0,
40.088,-73.912,frame_000142,,,,,,,,,0,
40.003,-73.997,frame_000143,,,,,,,,,0,
40.05,-73.95,frame_000144,,,,,,,,,0,
40.061,-73.939,frame_000145,,,,,,,,,0,
40.008,-73.992,frame_000146,,,,,,,,,0,
40.046,-73.954,frame_000147,Yes,,,,Yes,,,,0,
40.069,-73.931,frame_000148,,,,,,,,,0,
40.053,-73.947,frame_000149,,,,,,,,,0,
40.071,-73.929,frame_000150,,,,,,,,,0,
40.082,-73.918,frame_000151,,,,,,,,,0,
40.087,-73.913,frame_000152,,,,,,,,,0,
40.079,-73.921,frame_000153,,,,,,,,,0,
40.005,-73.995,frame_000154,,,,,,,,,0,
40.015,-73.985,frame_000155,,,,,,,,,0,
40.027,-73.973,frame_000156,,,,,,,,,0,
40.071,-73.929,frame_000157,,,,,,,,,0,
40.047,-73.953,frame_000158,,,,,,,,,0,
