ts,latitude,longitude
1728053838000000000,52.3561434,4.8675757
1728053839000000000,52.3561439,4.8675766
1728053840000000000,52.3561441,4.8675774
1728053841000000000,52.3561446,4.8675782
1728053842000000000,52.3561444,4.8675783
1728053843000000000,52.356144,4.8675785
1728053844000000000,52.356144,4.8675791
1728053845000000000,52.3561445,4.8675799
1728053846000000000,52.3561442,4.8675804
1728053847000000000,52.3561444,4.8675813
1728053848000000000,52.3561446,4.8675824
1728053849000000000,52.356144,4.8675821
1728053850000000000,52.3561435,4.867582
1728053851000000000,52.356143,4.8675819
1728053852000000000,52.3561428,4.8675819
1728053853000000000,52.3561433,4.8675819
1728053854000000000,52.3561427,4.8675817
1728053855000000000,52.3561427,4.8675817
1728053856000000000,52.3561429,4.8675825
1728053857000000000,52.356143,4.8675832
1728053858000000000,52.3561437,4.8675837
1728053859000000000,52.3561405,4.8675802
1728053860000000000,52.3561381,4.8675778
1728053861000000000,52.3561363,4.8675763
1728053862000000000,52.3561347,4.8675749
1728053863000000000,52.3561327,4.8675729
1728053864000000000,52.3561308,4.8675713
1728053865000000000,52.3561289,4.8675696
1728053866000000000,52.3561278,4.8675682
1728053867000000000,52.3561263,4.8675667
1728053868000000000,52.3561251,4.8675652
1728053869000000000,52.3561239,4.8675634
1728053870000000000,52.3561227,4.867562
1728053871000000000,52.3561218,4.8675604
1728053872000000000,52.3561208,4.8675587
1728053873000000000,52.3561198,4.8675574
1728053874000000000,52.3561188,4.8675556
1728053875000000000,52.356118,4.8675546
1728053876000000000,52.3561174,4.8675536
1728053877000000000,52.3561159,4.8675515
1728053878000000000,52.3561148,4.8675496
1728053879000000000,52.3561135,4.8675475
1728053880000000000,52.3561127,4.867546
1728053881000000000,52.3561114,4.8675446
1728053882000000000,52.3561107,4.8675433
1728053883000000000,52.3561106,4.8675425
1728053884000000000,52.3561102,4.8675417
1728053885000000000,52.3561099,4.8675408
1728053886000000000,52.3561097,4.8675398
1728053887000000000,52.3561096,4.867539
1728053888000000000,52.3561093,4.8675385
1728053889000000000,52.3561092,4.8675378
1728053890000000000,52.3561089,4.8675374
1728053891000000000,52.3561084,4.8675368
1728053892000000000,52.3561072,4.8675359
1728053893000000000,52.3561066,4.8675351
1728053894000000000,52.3561062,4.867534
1728053895000000000,52.3561061,4.8675327
1728053896000000000,52.3561057,4.8675318
1728053897000000000,52.3561049,4.8675307
1728053898000000000,52.3561046,4.8675298
1728053899000000000,52.3561038,4.8675286
1728053900000000000,52.3561027,4.8675273
1728053901000000000,52.3561011,4.8675264
1728053902000000000,52.3561006,4.8675259
1728053903000000000,52.3560995,4.8675247
